band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_A,"3/8"" steel",13,54.6,3.538,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",14,54.8,3.551,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",15,55.1,3.570,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",16,55.1,3.570,34.4,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",17,55.1,3.570,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",18,54.5,3.532,34.7,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",19,54.5,3.532,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",20,54.8,3.551,34.5,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,1,46.5,3.013,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,2,46.3,3.000,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,3,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,4,46.1,2.987,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,5,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,6,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,7,46.1,2.987,36.7,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,8,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,9,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,10,46.1,2.987,36.7,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,11,46.3,3.000,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,12,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,13,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,14,46.1,2.987,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,15,46.1,2.987,36.7,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,16,46.1,2.987,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,17,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,18,46.1,2.987,36.7,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,19,46.1,2.987,36.7,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,20,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,1,32.4,2.099,41.0,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,2,32.3,2.093,40.9,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,3,32.3,2.093,40.9,0.800,0.268,1.08,10.591182,
band_A,8 mm steel,4,32.3,2.093,40.9,0.800,0.268,1.08,10.591182,
