band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,5 mm steel,1,7.9,0.512,48.5,0.8,0.268,1.08,10.591182,,0.024832,0.532,2.817254412,0.6021759999999999,0.2137456941890131
band_A,5 mm steel,2,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,3,7.9,0.512,48.5,0.8,0.268,1.08,10.591182,,0.024832,0.532,2.817254412,0.6021759999999999,0.2137456941890131
band_A,5 mm steel,4,7.9,0.512,48.3,0.8,0.268,1.08,10.591182,,0.024729599999999997,0.532,2.817254412,0.59721984,0.21198647784742555
band_A,5 mm steel,5,8.0,0.518,48.3,0.8,0.268,1.08,10.591182,,0.0250194,0.532,2.817254412,0.6042185099999999,0.21447069438470007
band_A,5 mm steel,6,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,7,8.0,0.518,48.5,0.8,0.268,1.08,10.591182,,0.025123,0.532,2.817254412,0.60923275,0.21625052654279062
band_A,5 mm steel,8,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,9,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,10,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,11,7.9,0.512,48.3,0.8,0.268,1.08,10.591182,,0.024729599999999997,0.532,2.817254412,0.59721984,0.21198647784742555
band_A,5 mm steel,12,8.0,0.518,48.4,0.8,0.268,1.08,10.591182,,0.0250712,0.532,2.817254412,0.60672304,0.21535969112895295
band_A,5 mm steel,13,7.9,0.512,48.5,0.8,0.268,1.08,10.591182,,0.024832,0.532,2.817254412,0.6021759999999999,0.2137456941890131
band_A,5 mm steel,14,8.0,0.518,48.3,0.8,0.268,1.08,10.591182,,0.0250194,0.532,2.817254412,0.6042185099999999,0.21447069438470007
band_A,5 mm steel,15,8.0,0.518,48.4,0.8,0.268,1.08,10.591182,,0.0250712,0.532,2.817254412,0.60672304,0.21535969112895295
band_A,5 mm steel,16,7.9,0.512,48.3,0.8,0.268,1.08,10.591182,,0.024729599999999997,0.532,2.817254412,0.59721984,0.21198647784742555
band_A,5 mm steel,17,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,18,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,19,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_A,5 mm steel,20,7.9,0.512,48.4,0.8,0.268,1.08,10.591182,,0.0247808,0.532,2.817254412,0.59969536,0.2128651773320925
band_B,5 mm steel,1,7.7,0.499,55.3,0.8,0.267,2.1,20.593965,,0.027594699999999996,0.533,5.488291672500001,0.7629934549999999,0.1390220309942902
band_B,5 mm steel,2,7.7,0.499,55.3,0.8,0.267,2.1,20.593965,,0.027594699999999996,0.533,5.488291672500001,0.7629934549999999,0.1390220309942902
band_B,5 mm steel,3,7.9,0.512,55.4,0.8,0.267,2.1,20.593965,,0.0283648,0.533,5.488291672500001,0.7857049599999999,0.14316020482965683
band_B,5 mm steel,4,7.9,0.512,55.3,0.8,0.267,2.1,20.593965,,0.028313599999999998,0.533,5.488291672500001,0.7828710399999999,0.1426438474330192
band_B,5 mm steel,5,8.0,0.518,55.3,0.8,0.267,2.1,20.593965,,0.028645399999999998,0.533,5.488291672500001,0.7920453099999999,0.14431545502012488
band_B,5 mm steel,6,7.9,0.512,55.3,0.8,0.267,2.1,20.593965,,0.028313599999999998,0.533,5.488291672500001,0.7828710399999999,0.1426438474330192
band_B,5 mm steel,7,7.9,0.512,55.3,0.8,0.267,2.1,20.593965,,0.028313599999999998,0.533,5.488291672500001,0.7828710399999999,0.1426438474330192
band_B,5 mm steel,8,7.9,0.512,55.2,0.8,0.267,2.1,20.593965,,0.0282624,0.533,5.488291672500001,0.7800422400000001,0.14212842293140718
band_B,5 mm steel,9,7.9,0.512,55.1,0.8,0.267,2.1,20.593965,,0.0282112,0.533,5.488291672500001,0.77721856,0.1416139313248206
band_B,5 mm steel,10,8.0,0.518,55.2,0.8,0.267,2.1,20.593965,,0.028593600000000004,0.533,5.488291672500001,0.7891833600000001,0.1437939903876346
band_B,5 mm steel,11,7.9,0.512,55.1,0.8,0.267,2.1,20.593965,,0.0282112,0.533,5.488291672500001,0.77721856,0.1416139313248206
band_B,5 mm steel,12,8.0,0.518,55.2,0.8,0.267,2.1,20.593965,,0.028593600000000004,0.533,5.488291672500001,0.7891833600000001,0.1437939903876346
band_B,5 mm steel,13,7.9,0.512,55.2,0.8,0.267,2.1,20.593965,,0.0282624,0.533,5.488291672500001,0.7800422400000001,0.14212842293140718
band_B,5 mm steel,14,7.9,0.512,55.2,0.8,0.267,2.1,20.593965,,0.0282624,0.533,5.488291672500001,0.7800422400000001,0.14212842293140718
band_B,5 mm steel,15,7.9,0.512,55.0,0.8,0.267,2.1,20.593965,,0.028159999999999998,0.533,5.488291672500001,0.7744,0.1411003726132596
band_B,5 mm steel,16,7.9,0.512,55.1,0.8,0.267,2.1,20.593965,,0.0282112,0.533,5.488291672500001,0.77721856,0.1416139313248206
band_B,5 mm steel,17,8.0,0.518,55.2,0.8,0.267,2.1,20.593965,,0.028593600000000004,0.533,5.488291672500001,0.7891833600000001,0.1437939903876346
band_B,5 mm steel,18,7.9,0.512,55.0,0.8,0.267,2.1,20.593965,auto-fire,0.028159999999999998,0.533,5.488291672500001,0.7744,0.1411003726132596
band_B,5 mm steel,19,8.0,0.518,55.2,0.8,0.267,2.1,20.593965,auto-fire,0.028593600000000004,0.533,5.488291672500001,0.7891833600000001,0.1437939903876346
band_B,5 mm steel,20,7.9,0.512,55.0,0.8,0.267,2.1,20.593965,,0.028159999999999998,0.533,5.488291672500001,0.7744,0.1411003726132596
band_C,5 mm steel,1,7.9,0.512,58.0,0.8,0.268,2.41,23.6340265,,0.029696,0.532,6.2866510490000005,0.861184,0.13698613033993448
band_C,5 mm steel,2,8.0,0.518,58.4,0.8,0.268,2.41,23.6340265,,0.0302512,0.532,6.2866510490000005,0.88333504,0.14050963432120342
band_C,5 mm steel,3,7.9,0.512,58.2,0.8,0.268,2.41,23.6340265,,0.0297984,0.532,6.2866510490000005,0.86713344,0.13793249112147435
band_C,5 mm steel,4,7.9,0.512,58.3,0.8,0.268,2.41,23.6340265,,0.029849599999999997,0.532,6.2866510490000005,0.87011584,0.13840689314836502
band_C,5 mm steel,5,8.0,0.518,58.4,0.8,0.268,2.41,23.6340265,,0.0302512,0.532,6.2866510490000005,0.88333504,0.14050963432120342
band_C,5 mm steel,6,7.9,0.512,58.3,0.8,0.268,2.41,23.6340265,,0.029849599999999997,0.532,6.2866510490000005,0.87011584,0.13840689314836502
band_C,5 mm steel,7,7.9,0.512,58.1,0.8,0.268,2.41,23.6340265,,0.029747199999999998,0.532,6.2866510490000005,0.86415616,0.13745890351866416
band_C,5 mm steel,8,7.9,0.512,58.3,0.8,0.268,2.41,23.6340265,,0.029849599999999997,0.532,6.2866510490000005,0.87011584,0.13840689314836502
band_C,5 mm steel,9,7.9,0.512,58.0,0.8,0.268,2.41,23.6340265,,0.029696,0.532,6.2866510490000005,0.861184,0.13698613033993448
band_C,5 mm steel,10,7.9,0.512,58.2,0.8,0.268,2.41,23.6340265,,0.0297984,0.532,6.2866510490000005,0.86713344,0.13793249112147435
band_C,5 mm steel,11,7.7,0.499,58.3,0.8,0.268,2.41,23.6340265,,0.029091699999999998,0.532,6.2866510490000005,0.848023055,0.13489265562701983
band_C,5 mm steel,12,8.0,0.518,58.3,0.8,0.268,2.41,23.6340265,,0.030199399999999998,0.532,6.2866510490000005,0.88031251,0.14002884892744744
band_C,5 mm steel,13,7.9,0.512,58.2,0.8,0.268,2.41,23.6340265,,0.0297984,0.532,6.2866510490000005,0.86713344,0.13793249112147435
band_C,5 mm steel,14,8.0,0.518,58.3,0.8,0.268,2.41,23.6340265,,0.030199399999999998,0.532,6.2866510490000005,0.88031251,0.14002884892744744
band_C,5 mm steel,15,8.0,0.518,58.1,0.8,0.268,2.41,23.6340265,,0.030095800000000002,0.532,6.2866510490000005,0.8742829900000001,0.13906975004427355
band_C,5 mm steel,16,7.9,0.512,58.2,0.8,0.268,2.41,23.6340265,,0.0297984,0.532,6.2866510490000005,0.86713344,0.13793249112147435
